# OPO: Jupiter oposition
# QAP: Approaching quadrature
# CNJ: Jupiter conjunction
# QRG: Regressing quadrature
# E:   Io emersion
# O:   Io occultation

OPO 2020-07-14 07:55:25
E 	2020-07-15 06:58:13         4.139336691915581
E 	2020-07-17 01:26:47         4.1396903016832285
E 	2020-07-18 19:55:23         4.141023034615845
E 	2020-07-20 14:23:56         4.143306044434912
E 	2020-07-22 08:52:31         4.14647270924793
E 	2020-07-24 03:21:07         4.150524973121538
E 	2020-07-25 21:49:44         4.1555210304182335
E 	2020-07-27 16:18:20         4.161464612777844
E 	2020-07-29 10:46:57         4.168283414378187
E 	2020-07-31 05:15:35         4.175932833397174
E 	2020-08-01 23:44:15         4.184452041046297
E 	2020-08-03 18:12:52         4.193877714920985
E 	2020-08-05 12:41:33         4.204162676740371
E 	2020-08-07 07:10:11         4.215233394931571
E 	2020-08-09 01:38:54         4.2270935424034315
E 	2020-08-10 20:07:34         4.239793977664621
E 	2020-08-12 14:36:16         4.2533247321064485
E 	2020-08-14 09:04:57         4.267605625439025
E 	2020-08-16 03:33:41         4.282595457470195
E 	2020-08-17 22:02:24         4.2983318402218975
E 	2020-08-19 16:31:07         4.314837604453863
E 	2020-08-21 10:59:50         4.3320484632104295
E 	2020-08-23 05:28:37         4.3498858261312785
E 	2020-08-24 23:57:20         4.368350375967611
E 	2020-08-26 18:26:07         4.3874828626494455
E 	2020-08-28 12:54:50         4.407253447780745
E 	2020-08-30 07:23:40         4.427574824499652
E 	2020-09-01 01:52:25         4.448407434912957
E 	2020-09-02 20:21:13         4.469790546444752
E 	2020-09-04 14:49:59         4.491736632956356
E 	2020-09-06 09:18:49         4.514174198919509
E 	2020-09-08 03:47:36         4.537029810174533
E 	2020-09-09 22:16:26         4.560316268973217
E 	2020-09-11 16:45:12         4.5840706636586726
E 	2020-09-13 11:14:04         4.608256183258351
E 	2020-09-15 05:42:52         4.632781642003698
E 	2020-09-17 00:11:44         4.657618090926888
E 	2020-09-18 18:40:32         4.682802570165566
E 	2020-09-20 13:09:26         4.708335140012012
E 	2020-09-22 07:38:15         4.734131144077176
E 	2020-09-24 02:07:07         4.734131144077176
E 	2020-09-25 20:35:55         4.786329836840099
E 	2020-09-27 15:04:50         4.812783987223501
E 	2020-09-29 09:33:40         4.839435435759029
E 	2020-10-01 04:02:34         4.866199878027485
E 	2020-10-02 22:31:23         4.893060359447121
E 	2020-10-04 17:00:20         4.920063986433671
E 	2020-10-06 11:29:10         4.947201190460569
E 	2020-10-08 05:58:04         4.974390971436488
E 	2020-10-10 00:26:54         5.001578275069443
QRG 2020-10-11 13:25:41
E 	2020-10-11 18:55:51         5.028794735821161
E 	2020-10-13
E 	2020-10-15
E 	2020-10-17 02:22:28         5.110515061624619
E 	2020-10-18
E 	2020-10-20
E 	2020-10-22
E 	2020-10-24
E 	2020-10-25 22:47:00         5.245057996141341
E 	2020-10-27
E 	2020-10-29
E 	2020-10-31
